name,,addedAt,episodeId,url
How the Internet Ruins Young People - Freya India,,2026-03-03T06:24:26Z,4KRNyuezTygfEZVABn4A8s,https://open.spotify.com/episode/4KRNyuezTygfEZVABn4A8s
My Mother had Toxic Masculinity | Jay Larson | Stand Up Comedy,,2026-03-03T06:25:47Z,2nPWh6rRrG78xBkOwt1bNb,https://open.spotify.com/episode/2nPWh6rRrG78xBkOwt1bNb
"Robert Jenrick - ""I Joined Reform To Save The Country""",,2026-03-03T06:26:46Z,64SbstrRaMciDN2scQgpWy,https://open.spotify.com/episode/64SbstrRaMciDN2scQgpWy
Is This The End of Humanity? - Eric Weinstein,,2026-03-03T06:27:26Z,47pdRvWUGBqHmIj6uwWx5e,https://open.spotify.com/episode/47pdRvWUGBqHmIj6uwWx5e
Mel Gibson Tried to Warn You (And Hollywood Destroyed Him For It) | Moon,,2026-03-03T06:28:04Z,0kDNfJxI6nKBGevBzfyxz5,https://open.spotify.com/episode/0kDNfJxI6nKBGevBzfyxz5
#1709 - Amanda Knox,,2026-03-03T06:30:41Z,5N3DTJENpGqbRDFYalntkT,https://open.spotify.com/episode/5N3DTJENpGqbRDFYalntkT
When Creepy Celebrities Exposed Themselves on Conan | Moon,,2026-03-03T06:31:29Z,0d5BsoC5dcrhLhdE0AFnCK,https://open.spotify.com/episode/0d5BsoC5dcrhLhdE0AFnCK
"The Pathetic Life of an Internet ""Alpha Male""",,2026-03-03T06:31:46Z,7orefgcCQQk6DRySWsq9JC,https://open.spotify.com/episode/7orefgcCQQk6DRySWsq9JC
When Your Favorite Movie Aged Terribly,,2026-03-03T06:33:27Z,6SrQCDJnGb4tds6NPtapv4,https://open.spotify.com/episode/6SrQCDJnGb4tds6NPtapv4
The Psychology of The Restless Wanderer,,2026-03-03T06:38:32Z,7xtezVBr6AklntGMWs8RDB,https://open.spotify.com/episode/7xtezVBr6AklntGMWs8RDB
Is Being Smart Worth the Depression? - Alex O’Connor & Joe Folley - #1012 ,,2026-03-03T06:38:54Z,02nE2SBmL0jle3vfYb4dNy,https://open.spotify.com/episode/02nE2SBmL0jle3vfYb4dNy
#2448 - Andrew Doyle,,2026-03-03T06:39:08Z,627xqGgvGz9w4cZAClqri1,https://open.spotify.com/episode/627xqGgvGz9w4cZAClqri1
"#2454 - Robert Malone, MD",,2026-03-03T06:39:29Z,7aTgdbWt4rLg7H7BbErXMC,https://open.spotify.com/episode/7aTgdbWt4rLg7H7BbErXMC
#2451 - Cheryl Hines,,2026-03-03T06:40:03Z,4sjsBhsIf45Nut5H0bE11A,https://open.spotify.com/episode/4sjsBhsIf45Nut5H0bE11A
Essentials: How Humans Select & Keep Romantic Partners in the Short & Long Term | Dr. David Buss,,2026-03-03T06:40:28Z,2wP0uTefdUM4b2PSykf0DP,https://open.spotify.com/episode/2wP0uTefdUM4b2PSykf0DP
Analyzing Evil: Agent Smith And The World Of The Matrix,,2026-03-03T06:42:00Z,3BbNbRHivVGOz8HJG8aHiw,https://open.spotify.com/episode/3BbNbRHivVGOz8HJG8aHiw
#67 – Mihaly Csikszentmihalyi: Flow,,2026-03-03T06:42:15Z,4Zm19BrJU1L5hvrnCDpoTq,https://open.spotify.com/episode/4Zm19BrJU1L5hvrnCDpoTq
The Diffusion of Innovation Theory,,2026-03-03T06:42:22Z,7ocPNLwoO1fOeXrdJQYVC3,https://open.spotify.com/episode/7ocPNLwoO1fOeXrdJQYVC3
Ep. 36 - David Puts: Evolutionary Anthropologist Explains How Men Evolved,,2026-03-03T06:42:31Z,4ghbqJuVw4KXle2Y3AuYrv,https://open.spotify.com/episode/4ghbqJuVw4KXle2Y3AuYrv
The Psychology of Creativity,,2026-03-03T06:42:38Z,3RJEqujQozarIiq0L4I8nz,https://open.spotify.com/episode/3RJEqujQozarIiq0L4I8nz
"Dr Diana Fleischman on Evolutionary Psychology, Men & Women & Effective Altruism",,2026-03-03T06:42:53Z,2g8uSjFibZzadZoHdqcDch,https://open.spotify.com/episode/2g8uSjFibZzadZoHdqcDch
How To Style An Hourglass Shaped Body,,2026-03-03T06:43:04Z,2epoFoZAN6c5FQpkQ2jIPr,https://open.spotify.com/episode/2epoFoZAN6c5FQpkQ2jIPr
#137 Debunking Arguments for God - Graham Oppy,,2026-03-03T06:43:14Z,5RTSvuuzqI8cylt5vMTt4I,https://open.spotify.com/episode/5RTSvuuzqI8cylt5vMTt4I
"#143 Hinduism, Consciousness and Advaita Vedanta - Swami Sarvapriyananda",,2026-03-03T06:43:31Z,6SDJTwnt82zdxO4BDqNQEC,https://open.spotify.com/episode/6SDJTwnt82zdxO4BDqNQEC
 Remember Shane Dawson? His Life is Ruined Now...,,2026-03-03T06:45:08Z,5j2FacIn3iaDRTmRwGHM3z,https://open.spotify.com/episode/5j2FacIn3iaDRTmRwGHM3z
#150 - Curtis Yarvin - Can Democracy Survive AI and Debt?,,2026-03-03T06:46:57Z,3Wlm1QG4KhJRpaLpYRzu4c,https://open.spotify.com/episode/3Wlm1QG4KhJRpaLpYRzu4c
#2457 - Michael Malice,,2026-03-03T06:49:33Z,1kfWB2DhSOhZfM0ukBDUfK,https://open.spotify.com/episode/1kfWB2DhSOhZfM0ukBDUfK
#2445 - Bert Kreischer,,2026-03-03T06:50:25Z,180ulh8m7Z0nMem9Yl2KZj,https://open.spotify.com/episode/180ulh8m7Z0nMem9Yl2KZj
How to Survive the Death of Your Old Self - Charlie Houpert - #1063 ,,2026-03-09T03:07:57Z,46UnDCApMBfKhdMNRpNdqD,https://open.spotify.com/episode/46UnDCApMBfKhdMNRpNdqD
The Brutal Tactics of Female Sexual Competition - Dr Dani Sulikowski - #1064 ,,2026-03-09T09:06:35Z,3lCFW6ZV9eDJWUXs5IS4uH,https://open.spotify.com/episode/3lCFW6ZV9eDJWUXs5IS4uH
Why Smart People Struggle to “Be Normal”,,2026-03-09T23:28:38Z,0v2inmb086VZZZLNZMMQnN,https://open.spotify.com/episode/0v2inmb086VZZZLNZMMQnN
What If the “Crazy” Ones Are Right? – Conspiracy Theories,,2026-03-10T06:48:08Z,7fU6nEQqloQRdqSXV1jEFr,https://open.spotify.com/episode/7fU6nEQqloQRdqSXV1jEFr
Mel Gibson Tried To Warn You,,2026-03-12T12:34:42Z,5KayDRvGDRpXNi5hEtaUAl,https://open.spotify.com/episode/5KayDRvGDRpXNi5hEtaUAl
The Climate Crisis is a Scam - Professor Ian Plimer,,2026-03-13T01:18:27Z,6ZEsUzsLhiJkM1QHTIOxZV,https://open.spotify.com/episode/6ZEsUzsLhiJkM1QHTIOxZV
Why Beautiful Things Make us Happy – Beauty Explained,,2026-03-15T09:46:37Z,3D0Go6PN7dYjUX6h2EnV93,https://open.spotify.com/episode/3D0Go6PN7dYjUX6h2EnV93
Australia's Quiet Collapse,,2026-03-20T09:18:18Z,0DDqJYyNM0RAbZcLnnMgaL,https://open.spotify.com/episode/0DDqJYyNM0RAbZcLnnMgaL
#2476 - Shanna H. Swan,,2026-05-01T07:25:11Z,2YHcBGVPW5B8iqdk8YliDm,https://open.spotify.com/episode/2YHcBGVPW5B8iqdk8YliDm
#146 The Most Complicated Thing in the Universe: What is the Brain?,,2026-05-02T03:27:58Z,1xO2HOmxHddlOq3agRaTmf,https://open.spotify.com/episode/1xO2HOmxHddlOq3agRaTmf
#147 What is PURE Consciousness? - Thomas Metzinger,,2026-05-02T07:26:38Z,6putLYPkhczkpI7XHEJOar,https://open.spotify.com/episode/6putLYPkhczkpI7XHEJOar
Who Decides What’s True on Wikipedia?,,2026-05-02T08:34:45Z,0PvGxAFfx8BHrZD3czwetn,https://open.spotify.com/episode/0PvGxAFfx8BHrZD3czwetn
What People Get Wrong About Birthright Citizenship,,2026-05-03T03:10:30Z,2M7KoJ3feYNAHAb5qMSuI0,https://open.spotify.com/episode/2M7KoJ3feYNAHAb5qMSuI0
#145 The Algorithm is God Now - The Etymology Nerd,,2026-05-04T05:32:56Z,0ocxdAwXwa2Pmv8dJPT80C,https://open.spotify.com/episode/0ocxdAwXwa2Pmv8dJPT80C
Why Men Fear Women,,2026-05-05T02:58:58Z,599zDbYCRNYAEN5vYQOZHT,https://open.spotify.com/episode/599zDbYCRNYAEN5vYQOZHT
Carl Jung as Therapist – Your Problems Don’t Lie in the Past,,2026-05-05T03:13:10Z,0A2QWXG2LUuwUokkwLAbgg,https://open.spotify.com/episode/0A2QWXG2LUuwUokkwLAbgg
#2314 - Hal Puthoff,,2026-06-18T17:27:47Z,1bVRf3i6Qnfg3dwoQ72e47,https://open.spotify.com/episode/1bVRf3i6Qnfg3dwoQ72e47
#2516 - Rowan Jacobsen,,2026-06-22T11:37:20Z,42OAtqh3iHebi8cuwEJgQa,https://open.spotify.com/episode/42OAtqh3iHebi8cuwEJgQa
#2513 - Dean Radin,,2026-06-23T08:31:04Z,2c50dZKpJcLjAfGXhOMRxD,https://open.spotify.com/episode/2c50dZKpJcLjAfGXhOMRxD
Unlearn Negative Thoughts & Behaviors Patterns | Dr. Alok Kanojia,,2026-06-24T14:35:15Z,6dYpYtcxZF4ukh7xntIO2h,https://open.spotify.com/episode/6dYpYtcxZF4ukh7xntIO2h
Lovemaxxing E1: I did EVERYTHING right. I still can't find love.,,2026-06-24T18:06:40Z,48QDGIdADnHcamQ1FAg35i,https://open.spotify.com/episode/48QDGIdADnHcamQ1FAg35i
